% Model,sweep_hqd.mph.mph
% Version,COMSOL 6.3.0.290
% Date,"Dec 30 2025, 16:14"
% Table,Table 8 - Global Evaluation 1
% h_qd (nm),Vapp (V),Time,semi.I0_2 (A)
1.9999999999999998,0,0,-3.303808999546409E-39
1.9999999999999998,0.01,0,1.0827121720395478E-5
1.9999999999999998,0.02,0,2.1654243440790956E-5
1.9999999999999998,0.03,0,3.2481365161187396E-5
1.9999999999999998,0.04,0,4.330848688158286E-5
1.9999999999999998,0.05,0,5.413560860197836E-5
1.9999999999999998,0.06,0,6.496273032237383E-5
1.9999999999999998,0.07,0,7.578985204277028E-5
1.9999999999999998,0.08,0,8.661697376316575E-5
1.9999999999999998,0.09,0,9.744409548356125E-5
1.9999999999999998,0.1,0,1.0827121720395672E-4
3,0,0,-3.483751169128299E-39
3,0.01,0,1.1416821601037083E-5
3,0.02,0,2.2833643202074165E-5
3,0.03,0,3.425046480311226E-5
3,0.04,0,4.566728640414934E-5
3,0.05,0,5.7084108005186416E-5
3,0.06,0,6.850092960622349E-5
3,0.07,0,7.991775120726158E-5
3,0.08,0,9.13345728082987E-5
3,0.09,0,1.0275139440933576E-4
3,0.1,0,1.1416821601037285E-4
3.9999999999999996,0,0,-4.667530936033092E-39
3.9999999999999996,0.01,0,1.5296261250296245E-5
3.9999999999999996,0.02,0,3.059252250059249E-5
3.9999999999999996,0.03,0,4.5888783750890093E-5
3.9999999999999996,0.04,0,6.118504500118636E-5
3.9999999999999996,0.05,0,7.648130625148259E-5
3.9999999999999996,0.06,0,9.177756750177883E-5
3.9999999999999996,0.07,0,1.0707382875207644E-4
3.9999999999999996,0.08,0,1.2237009000237272E-4
3.9999999999999996,0.09,0,1.3766635125266893E-4
3.9999999999999996,0.1,0,1.5296261250296518E-4
