% Model,sweep_zqd.mph.mph
% Version,COMSOL 6.3.0.290
% Date,"Jan 1 2026, 09:13"
% Table,IV_dark_zqd - Global Evaluation 1
% Vapp (V),z_qd (nm),Time,semi.I0_2 (A)
0,30,0,-2.961970145938545E-39
0,39.99999999999999,0,-2.961970145938544E-39
0,50,0,-2.961970145938544E-39
0,60,0,-2.961970145938544E-39
0.01,30,0,9.706859962745159E-6
0.01,39.99999999999999,0,9.70685996274516E-6
0.01,50,0,9.70685996274516E-6
0.01,60,0,9.70685996274516E-6
0.02,30,0,1.941371992549032E-5
0.02,39.99999999999999,0,1.9413719925490325E-5
0.02,50,0,1.9413719925490325E-5
0.02,60,0,1.9413719925490325E-5
0.03,30,0,2.9120579888236346E-5
0.03,39.99999999999999,0,2.9120579888236343E-5
0.03,50,0,2.9120579888236343E-5
0.03,60,0,2.9120579888236343E-5
0.04,30,0,3.882743985098151E-5
0.04,39.99999999999999,0,3.8827439850981524E-5
0.04,50,0,3.8827439850981524E-5
0.04,60,0,3.8827439850981524E-5
0.05,30,0,4.853429981372666E-5
0.05,39.99999999999999,0,4.853429981372667E-5
0.05,50,0,4.853429981372667E-5
0.05,60,0,4.853429981372667E-5
0.06,30,0,5.824115977647183E-5
0.06,39.99999999999999,0,5.824115977647184E-5
0.06,50,0,5.824115977647184E-5
0.06,60,0,5.824115977647184E-5
0.07,30,0,6.794801973921788E-5
0.07,39.99999999999999,0,6.794801973921784E-5
0.07,50,0,6.794801973921784E-5
0.07,60,0,6.794801973921784E-5
0.08,30,0,7.765487970196302E-5
0.08,39.99999999999999,0,7.765487970196305E-5
0.08,50,0,7.765487970196305E-5
0.08,60,0,7.765487970196305E-5
0.09,30,0,8.736173966470819E-5
0.09,39.99999999999999,0,8.736173966470815E-5
0.09,50,0,8.736173966470815E-5
0.09,60,0,8.736173966470815E-5
0.1,30,0,9.706859962745332E-5
0.1,39.99999999999999,0,9.706859962745335E-5
0.1,50,0,9.706859962745335E-5
0.1,60,0,9.706859962745335E-5
